edgeID,startNode,endNode
EREST00102_ERETL00102,EREST00102,ERETL00102
ERETL00102_EHALL00302,ERETL00102,EHALL00302
EHALL00302_EHALL00202,EHALL00302,EHALL00202
EHALL00202_EINFO00102,EHALL00202,EINFO00102
EHALL00202_EHALL00502,EHALL00202,EHALL00502
EINFO00102_EHALL00102,EINFO00102,EHALL00102
EHALL00102_EHALL00402,EHALL00102,EHALL00402
EHALL00402_ESTAI0N102,EHALL00402,ESTAI0N102
EHALL00402_EHALL00602,EHALL00402,EHALL00602
EHALL00102_EEXIT00202,EHALL00102,EEXIT00202
ESTAI0N102_EELEV00N02,ESTAI0N102,EELEV00N02
EELEV00N02_EHALL00502,EELEV00N02,EHALL00502
EHALL00502_EHALL01002,EHALL00502,EHALL01002
EHALL01002_EHALL01102,EHALL01002,EHALL01102
EHALL01102_EHALL01202,EHALL01102,EHALL01202
EHALL01202_EHALL01302,EHALL01202,EHALL01302
EHALL01302_EEXIT00102,EHALL01302,EEXIT00102
EHALL01302_EHALL00802,EHALL01302,EHALL00802
EHALL00802_EHALL00702,EHALL00802,EHALL00702
EHALL00802_EHALL00902,EHALL00802,EHALL00902
EHALL00902_EELEV00Q02,EHALL00902,EELEV00Q02
EELEV00Q02_EHALL01002,EELEV00Q02,EHALL01002
ESTAI0N202_EHALL00902,ESTAI0N202,EHALL00902
EHALL00702_EHALL00602,EHALL00702,EHALL00602
EHALL00602_ESTAI0N202,EHALL00602,ESTAI0N202
