edgeID,startNode,endNode
EHALL00801_EINFO00101,EHALL00801,EINFO00101
EHALL00301_EHALL00401,EHALL00301,EHALL00401
EHALL00401_EHALL00501,EHALL00401,EHALL00501
EHALL03201_EHALL03301,EHALL03201,EHALL03301
EHALL03101_EHALL03501,EHALL03101,EHALL03501
EHALL00701_EDEPT00101,EHALL00701,EDEPT00101
EINFO00102_EHALL00102,EINFO00102,EHALL00102
ESTAI00101_EHALL00301,ESTAI00101,EHALL00301
EHALL01201_EHALL01301,EHALL01201,EHALL01301
EHALL01301_EHALL01401,EHALL01301,EHALL01401
EHALL01501_EHALL01601,EHALL01501,EHALL01601
EHALL02101_EHALL02201,EHALL02101,EHALL02201
EREST00301_ELABS00201,EREST00301,ELABS00201
EHALL03501_EHALL03601,EHALL03501,EHALL03601
EHALL01302_EHALL00802,EHALL01302,EHALL00802
EHALL02201_EHALL02301,EHALL02201,EHALL02301
EHALL02401_EHALL02501,EHALL02401,EHALL02501
EHALL02601_EHALL02701,EHALL02601,EHALL02701
EHALL03101_EHALL03401,EHALL03101,EHALL03401
EDEPT00201_EDEPT00301,EDEPT00201,EDEPT00301
EHALL00602_ESTAI0N202,EHALL00602,ESTAI0N202
EHALL00801_EHALL00901,EHALL00801,EHALL00901
EREST00102_ERETL00102,EREST00102,ERETL00102
EHALL01601_EHALL01701,EHALL01601,EHALL01701
EHALL02501_EHALL02801,EHALL02501,EHALL02801
EHALL02401_EHALL02901,EHALL02401,EHALL02901
EHALL01601_EHALL01801,EHALL01601,EHALL01801
EHALL01101_EHALL01201,EHALL01101,EHALL01201
EHALL00502_EHALL01002,EHALL00502,EHALL01002
EHALL00501_EHALL00601,EHALL00501,EHALL00601
EHALL00601_EHALL00701,EHALL00601,EHALL00701
EHALL00601_EHALL00801,EHALL00601,EHALL00801
EHALL01101_EHALL01501,EHALL01101,EHALL01501
EREST00101_EEXIT00201,EREST00101,EEXIT00201
ERETL00102_EHALL00302,ERETL00102,EHALL00302
EHALL01302_EEXIT00102,EHALL01302,EEXIT00102
ELABS00201_EDEPT00401,ELABS00201,EDEPT00401
EHALL02201_EELEV00E01,EHALL02201,EELEV00E01
EHALL01002_EHALL01102,EHALL01002,EHALL01102
EHALL03301_ESTAI00401,EHALL03301,ESTAI00401
EHALL00102_EHALL00402,EHALL00102,EHALL00402
EHALL00302_EHALL00202,EHALL00302,EHALL00202
ESTAI0N102_EELEV00N02,ESTAI0N102,EELEV00N02
EELEV00N02_EHALL00502,EELEV00N02,EHALL00502
EELEV00G01_EHALL01901,EELEV00G01,EHALL01901
EELEV00F01_EHALL02601,EELEV00F01,EHALL02601
EELEV00Q02_EHALL01002,EELEV00Q02,EHALL01002
EHALL01801_EELEV00G01,EHALL01801,EELEV00G01
EHALL00802_EHALL00702,EHALL00802,EHALL00702
EHALL00901_EHALL01001,EHALL00901,EHALL01001
EHALL01401_EHALL02401,EHALL01401,EHALL02401
EHALL02901_EHALL03001,EHALL02901,EHALL03001
ESTAI00301_EREST00301,ESTAI00301,EREST00301
EHALL02001_EREST00101,EHALL02001,EREST00101
EHALL00901_EHALL01101,EHALL00901,EHALL01101
EHALL01801_EHALL02501,EHALL01801,EHALL02501
EHALL00702_EHALL00602,EHALL00702,EHALL00602
EHALL00402_EHALL00602,EHALL00402,EHALL00602
EHALL00802_EHALL00902,EHALL00802,EHALL00902
EHALL01901_EDEPT00201,EHALL01901,EDEPT00201
EHALL01202_EHALL01302,EHALL01202,EHALL01302
EREST00201_EELEV00F01,EREST00201,EELEV00F01
EHALL00902_EELEV00Q02,EHALL00902,EELEV00Q02
EHALL02501_EREST00201,EHALL02501,EREST00201
EHALL00202_EINFO00102,EHALL00202,EINFO00102
EHALL00301_EELEV00K01,EHALL00301,EELEV00K01
EHALL00102_EEXIT00202,EHALL00102,EEXIT00202
EHALL00701_EELEV00J01,EHALL00701,EELEV00J01
EHALL01102_EHALL01202,EHALL01102,EHALL01202
EHALL00402_ESTAI0N102,EHALL00402,ESTAI0N102
ESTAI00201_EEXIT00101,ESTAI00201,EEXIT00101
EHALL00202_EHALL00502,EHALL00202,EHALL00502
EHALL02901_EELEV00H01,EHALL02901,EELEV00H01
EHALL02001_ELABS00101,EHALL02001,ELABS00101
EDEPT00401_EHALL03201,EDEPT00401,EHALL03201
EHALL03001_ESTAI00301,EHALL03001,ESTAI00301
EDEPT00401_EHALL03101,EDEPT00401,EHALL03101
ESTAI0N202_EHALL00902,ESTAI0N202,EHALL00902
EHALL00401_ESTAI00201,EHALL00401,ESTAI00201
EHALL00201_ESTAI00101,EHALL00201,ESTAI00101
EHALL01901_EHALL02001,EHALL01901,EHALL02001
EDEPT00301_EHALL02101,EDEPT00301,EHALL02101
